ID|CITY|COUN|SUBJ|SEX|AGE|RELI|PRAC|FOCC|MOCC|FIEL|EMOT|WHEN|LONG|INTS|ERGO|TROPHO|TEMPER|EXPRES|MOVE|EXP1|EXP2|EXP10|PARAL|CON|EXPC|PLEA|PLAN|FAIR|CAUS|COPING|MORL|SELF|RELA|VERBAL|NEUTRO|Field1|Field3|Field2|MYKEY|SIT|STATE|;;
11001|1|1|1|1|33|1|2|6|1|2|1|4|4|3|0|0|1|1|0|1|0|0|0|1|2|1|1|1|4|4|2|3|3|2|0|joy|4|3|0110011|During the period of falling in love, each time that we met and ла especially when we had not met for a long time.|1|;;
11001|1|1|1|1|33|1|2|6|1|2|2|4|3|2|2|0|0|1|0|0|0|0|2|1|1|3|0|2|2|1|3|2|2|0|0|fear|3|2|0110012|When I was involved in a traffic accident.|1|;;
11001|1|1|1|1|33|1|2|6|1|2|3|4|1|3|0|0|0|2|0|0|0|0|1|1|1|3|3|0|3|1|2|2|1|0|0|anger|1|3|0110013|When I was driving home after  several days of hard work, there ла was a motorist ahead of me who was driving at 50 km/hour and ла refused, despite his low speeed to let me overtake.|1|;;
11001|1|1|1|1|33|1|2|6|1|2|4|4|4|4|1|1|0|1|0|0|1|0|1|2|1|3|3|3|3|5|0|1|1|0|2|sadness|4|4|0110014|When I lost the person who meant the most to me. |1|;;
11001|1|1|1|1|33|1|2|6|1|2|5|4|4|4|3|0|0|0|0|0|0|0|1|1|1|3|0|0|4|1|0|0|2|0|0|disgust|4|4|0110015|The time I knocked a deer down - the sight of the animal's ла injuries and helplessness.  The realization that the animal was ла so badly hurt that it had to be put down, and when the animal ла screamed at the moment of death.|1|;;
11001|1|1|1|1|33|1|2|6|1|2|6|4|4|3|0|0|0|0|0|0|0|0|0|2|1|3|0|1|1|2|3|1|2|0|0|shame|4|3|0110016|When I did not speak the truth.|1|;;
11001|1|1|1|1|33|1|2|6|1|2|7|1|3|1|0|0|0|0|0|0|0|0|0|1|1|3|2|1|1|5|3|1|0|0|0|guilt|3|1|0110017|When I caused problems for somebody because he could not keep the ла appointed time and this led to various consequences.|1|;;
11002|1|1|2|2|23|0|0|7|5|2|1|3|2|2|0|0|1|3|1|1|0|0|2|1|1|1|1|0|0|4|0|3|0|0|0|joy|2|2|0110021|When I got a letter offering me the Summer job that I had applied ла for.  |1|;;
11002|1|1|2|2|23|0|0|7|5|2|2|4|3|3|2|0|1|0|1|0|0|0|0|3|2|3|0|0|0|3|0|2|0|0|0|fear|3|3|0110022|When I was going home alone one night in Paris and a man came up ла behind me and asked me if I was not afraid to be out alone so ла late at night.|1|;;
11002|1|1|2|2|23|0|0|7|5|2|3|3|3|4|2|0|0|2|0|0|0|1|2|1|1|2|3|0|2|1|3|2|1|3|0|anger|3|4|0110023|When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.|1|;;
11002|1|1|2|2|23|0|0|7|5|2|4|3|4|4|0|2|0|1|0|0|0|0|0|3|2|3|3|3|2|3|3|1|1|0|2|sadness|4|4|0110024|When my friends did not ask me to go to a New Year's party ла with them.|1|;;
11002|1|1|2|2|23|0|0|7|5|2|5|4|2|1|0|0|0|0|0|0|0|0|0|1|3|3|0|0|0|4|0|0|0|0|0|disgust|2|1|0110025|When I saw all the very drunk kids (13-14 years old) in town on ла Walpurgis night.|1|;;
11002|1|1|2|2|23|0|0|7|5|2|6|1|1|2|3|0|2|2|1|1|0|0|0|3|3|3|2|1|1|2|0|1|2|0|0|shame|1|2|0110026|When I could not remember what to say about a presentation task ла at an accounts meeting.|1|;;
11002|1|1|2|2|23|0|0|7|5|2|7|2|2|2|0|0|0|0|0|0|0|0|0|0|3|3|0|0|0|4|3|0|2|0|0|guilt|2|2|0110027|When my uncle and my neighbour came home under police escort.|1|;;
11003|1|1|3|2|22|8|2|4|6|2|1|1|3|3|0|0|2|1|1|1|0|0|2|1|0|1|1|0|0|5|1|3|3|3|0|joy|3|3|0110031|[ On days when I feel close to my partner and other friends.  ла When I feel at peace with myself and also experience a close ла contact with people whom I regard greatly.]|1|;;
11003|1|1|3|2|22|8|2|4|6|2|2|1|2|2|1|2|2|1|1|0|0|0|0|2|2|3|0|0|1|1|0|1|0|0|2|fear|2|2|0110032|Every time I imagine that someone I love or I could contact a ла serious illness, even death.|1|;;
11003|1|1|3|2|22|8|2|4|6|2|3|3|4|4|4|1|0|2|0|0|1|0|2|2|1|3|3|3|2|1|0|1|1|2|2|anger|4|4|0110033|When I had been obviously unjustly treated and had no possibility ла of elucidating this.|1|;;
11003|1|1|3|2|22|8|2|4|6|2|4|2|3|3|0|0|0|1|1|0|0|0|0|2|2|3|0|1|1|5|1|3|0|1|0|sadness|3|3|0110034|When I think about the short time that we live and relate it to ла the periods of my life when I think that I did not use this ла short time.|1|;;
